,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,Julian_Διονυσίῳ,Julian_φραγμεντυμ επιστολαε,Julian_Τῷ αὐτῷ,Julian_Ἀνεπίγραφος ὑπὲρ Ἀργείων,Julian_Σαραπίωνι τῷ λαμπροτάτῳ,Julian_Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι
1TI,0.8929868992299759,0.9906791595906301,0.8634338899175095,0.948905354783134,0.9503392921583457,0.9919858096898823,0.9956148871235194,0.9434040989675876,0.9892731828595082,0.9687991148397637,1.0,0.9993390437922064,0.9457213449417123,0.7953175786022902,0.5248101794855003,0.9768278816135191,0.634579748371646,0.5776922598837951,0.9172973818890408,0.9344828050490008,0.5794229969247499,0.9897043881215477,0.9959498513496241,0.989819781820495,0.9977507186080579,0.9928854483300549,0.938998170647295,0.9973947420332848,0.9433343459380625,0.9745056236743337,0.965207433567145,0.9681888779815118,0.9979098148589464
2TI,0.8799025851072302,0.9878303867655063,0.8509214595050759,0.9432840964857648,0.9589117584714311,0.9939681525604199,0.9967479762694881,0.9504031790400672,0.9919730422956783,0.975067068641611,0.9993390437922064,1.0,0.950442978047122,0.7775366694261118,0.5019049725489275,0.9779211156567851,0.6129645701710078,0.5547519830480946,0.9101678910228848,0.9239121743823235,0.5567173159568441,0.9929304418582016,0.9927426215636226,0.9934431936986814,0.996157665747867,0.995763721504553,0.9458610389913796,0.9943032232841906,0.9370530110910068,0.9774517483402375,0.9698879762513085,0.9701268461251464,0.999069469538232
EPH,0.8716806436403479,0.9611784759952744,0.8743075249363532,0.9574271955469602,0.9880253086600963,0.9786223334417056,0.9260252651152053,0.9953040784388086,0.9818949687700448,0.9899195102369046,0.9457213449417123,0.950442978047122,1.0,0.7828156093164315,0.5656537624781621,0.9874088374618036,0.6471063528034761,0.5972372959850356,0.9435752589360549,0.898889278901718,0.6014961288051408,0.9618660261529471,0.9407595071366872,0.9481923241895736,0.9297798344871036,0.943573602279738,0.9952177416310657,0.9372136717137801,0.9535723848631239,0.9743664169222537,0.9873813009789691,0.9828377153482155,0.9528645268971196
MRK,0.9827920484836826,0.85950710725368,0.9860031192520086,0.9248476735029723,0.6950209734270603,0.7915539157499186,0.7422791323332766,0.7414353199999005,0.7825099404641902,0.73494035588651,0.7953175786022902,0.7775366694261118,0.7828156093164315,1.0,0.9298956345929872,0.8133814308613605,0.9712861086545233,0.9534305752805049,0.940550925396744,0.9567198744735576,0.9535685675161654,0.7392148596450042,0.8357568790918007,0.7191865169019014,0.8004165826959729,0.7310692286609847,0.7315008989858968,0.828515629104709,0.9258706658783228,0.7583386430147401,0.7493655803931282,0.7909903181703685,0.7681928694820399
ACT,0.84949310217313,0.6236184300802596,0.8790751212968357,0.7465876441883005,0.43789926541437213,0.5339849603831415,0.44944715083008935,0.5056847410566399,0.5250609285901173,0.4771386921349743,0.5248101794855003,0.5019049725489275,0.5656537624781621,0.9298956345929872,1.0,0.5823602748663111,0.9875210962197576,0.9961831183664331,0.7931910297851433,0.7878795987715094,0.9964407653247087,0.4638844846434845,0.58171612873344,0.4324075670255517,0.5292096046447907,0.44006420968017645,0.5020932650158267,0.5709753049978811,0.7545627404622987,0.5095997617451348,0.5062076353126475,0.5616267521726288,0.49103815601999085
1PE,0.9018787095887117,0.9862937662469538,0.8932836303898948,0.9710673902451508,0.976920568527161,0.9919040279557686,0.9587535381825288,0.9769031447044323,0.9929519097579413,0.9861360993385748,0.9768278816135191,0.9779211156567851,0.9874088374618036,0.8133814308613605,0.5823602748663111,1.0,0.6706528098954736,0.6196599619291342,0.9565277120278235,0.9303644902364906,0.623191831770312,0.9849934523343093,0.9764871127956841,0.9735919118038128,0.9642830020651924,0.9694376467723668,0.9841708923505303,0.9748492560786414,0.9720172375210422,0.9925768935648482,0.9932950835829425,0.9962552220983654,0.980619291041435
JHN,0.9125928866163758,0.7194413677959758,0.9301809802775454,0.8208460745990165,0.5337291933014401,0.6359470310975508,0.5684845752644634,0.5935368979821277,0.6263199810374502,0.5751855488382596,0.634579748371646,0.6129645701710078,0.6471063528034761,0.9712861086545233,0.9875210962197576,0.6706528098954736,1.0,0.9966286697260144,0.853687117504724,0.8667898479991403,0.9970026888257362,0.5713375588664859,0.6848349373743147,0.5463461457096317,0.6430944114727294,0.5553477022523975,0.585266765355058,0.6763302742016656,0.8242144214804169,0.6047719980572195,0.5977612537343093,0.6494121857277417,0.6008270836121574
LUK,0.882312186587797,0.6692249944583227,0.9039995458978676,0.7806103598669913,0.47616209965090994,0.5801591738600776,0.5073889271239603,0.5409664144801429,0.5701660411970847,0.5184001326184019,0.5776922598837951,0.5547519830480946,0.5972372959850356,0.9534305752805049,0.9961831183664331,0.6196599619291342,0.9966286697260144,1.0,0.819328174802501,0.8279162393923885,0.999890605669532,0.5116955776580462,0.632271399189681,0.4841564894850449,0.5851403586860386,0.494394576650879,0.5328782017687325,0.6225350014001099,0.785626700709866,0.5489251530782108,0.5426723984963044,0.5970046469566835,0.542696561494634
HEB,0.978115312452159,0.9608474341393788,0.983126471870258,0.9944381151613891,0.8895708029881941,0.9334504314609621,0.8765362810296662,0.9156010096315331,0.9310640535257664,0.9103212635206758,0.9172973818890408,0.9101678910228848,0.9435752589360549,0.940550925396744,0.7931910297851433,0.9565277120278235,0.853687117504724,0.819328174802501,1.0,0.9762524749433401,0.8219036083689808,0.9012416420723973,0.9376838014287558,0.8809029335869957,0.9086381043824964,0.882099611645766,0.9177403713595024,0.9319144114811261,0.9972728088092948,0.9229174142329676,0.9237308684030247,0.9448279302191864,0.9084778261255987
REV,0.9923096233379736,0.965399665753721,0.9793226583586102,0.98356924594198,0.8507155397976445,0.9276872703880774,0.9027737633866102,0.8736062534688839,0.9210118666538287,0.8826940104438483,0.9344828050490008,0.9239121743823235,0.898889278901718,0.9567198744735576,0.7878795987715094,0.9303644902364906,0.8667898479991403,0.8279162393923885,0.9762524749433401,1.0,0.8290307860341012,0.8958473459392629,0.9538370521295328,0.8862597236783435,0.9389750279580495,0.892316327370435,0.8647007661009682,0.9515441498501221,0.9800700869167611,0.8989889119832314,0.8890743375501002,0.9148702915786437,0.9160807853573399
MAT,0.8830044218160549,0.67106879564496,0.9053943357351484,0.7828017612348118,0.4805733360189938,0.5828824779692446,0.5089402721545432,0.5448532813877266,0.5731732911933333,0.5221115634171002,0.5794229969247499,0.5567173159568441,0.6014961288051408,0.9535685675161654,0.9964407653247087,0.623191831770312,0.9970026888257362,0.999890605669532,0.8219036083689808,0.8290307860341012,1.0,0.5149581374326979,0.6336148260261253,0.4872024501027115,0.5866559215036088,0.49657107073431744,0.5377512028098694,0.6239832569588121,0.7880693597545898,0.5531508830186885,0.5471817038335132,0.601321743865435,0.544844186590357
JUD,0.8492447091727321,0.976348432787703,0.8256461721456783,0.9300572653517074,0.9755387574312865,0.9922956307376568,0.9869702715725175,0.9599574100513375,0.993078417022411,0.9841030117447656,0.9897043881215477,0.9929304418582016,0.9618660261529471,0.7392148596450042,0.4638844846434845,0.9849934523343093,0.5713375588664859,0.5116955776580462,0.9012416420723973,0.8958473459392629,0.5149581374326979,1.0,0.9792419967199588,0.9980129090716543,0.9815009866240149,0.9925844604391638,0.9669267212092036,0.9815826962342954,0.9285348758785102,0.9929444710266455,0.9874123525996262,0.9845520948858417,0.9952234071825088
JAS,0.9220860311862141,0.9960980956226921,0.8947424162602574,0.9641173240701089,0.9347172956622182,0.9862850038732879,0.9855261461260753,0.9340067448835002,0.9825052739553278,0.957353673235813,0.9959498513496241,0.9927426215636226,0.9407595071366872,0.8357568790918007,0.58171612873344,0.9764871127956841,0.6848349373743147,0.632271399189681,0.9376838014287558,0.9538370521295328,0.6336148260261253,0.9792419967199588,1.0,0.9758342428323293,0.9933220322436717,0.9836129012380438,0.9293646204564395,0.9993196100139167,0.9602569150100828,0.9665031663764272,0.9557532982060012,0.9637976105725244,0.9920219718517131
2JN,0.8337298482753802,0.9695222001375292,0.8050536016952565,0.9149748735678891,0.9683622149534807,0.9878891182446197,0.9920377826151356,0.9492316736523888,0.9882041678110559,0.9775644105463455,0.989819781820495,0.9934431936986814,0.9481923241895736,0.7191865169019014,0.4324075670255517,0.9735919118038128,0.5463461457096317,0.4841564894850449,0.8809029335869957,0.8862597236783435,0.4872024501027115,0.9980129090716543,0.9758342428323293,1.0,0.9846652395651767,0.9942990070775748,0.953639736820525,0.9797224600751656,0.9112906642867863,0.9853147935805403,0.9780011490892727,0.9737376572914751,0.9943275183896847
1JN,0.8952993941289661,0.9863357448159735,0.862127519523236,0.9430211338367579,0.9346260630821224,0.9846366997246551,0.9951646610653049,0.9274288811991742,0.9808906329630643,0.955835912161083,0.9977507186080579,0.996157665747867,0.9297798344871036,0.8004165826959729,0.5292096046447907,0.9642830020651924,0.6430944114727294,0.5851403586860386,0.9086381043824964,0.9389750279580495,0.5866559215036088,0.9815009866240149,0.9933220322436717,0.9846652395651767,1.0,0.9882009151692018,0.9198840668238437,0.9959060670653327,0.9353712143839595,0.9623549381230426,0.9506241534482772,0.9552801514991562,0.9925565277135837
3JN,0.8443578817607614,0.9758795465359225,0.8133781840432486,0.9202220047093468,0.9627479842975075,0.9886797216528028,0.9957982645761401,0.9496266197753566,0.9876897506192671,0.9760423874034003,0.9928854483300549,0.995763721504553,0.943573602279738,0.7310692286609847,0.44006420968017645,0.9694376467723668,0.5553477022523975,0.494394576650879,0.882099611645766,0.892316327370435,0.49657107073431744,0.9925844604391638,0.9836129012380438,0.9942990070775748,0.9882009151692018,1.0,0.9440933208965313,0.9845813547139354,0.9127514944167466,0.9724426067299519,0.9660440230115959,0.9607157847493356,0.9974133979684725
2PE,0.8316206644380971,0.9466572105179932,0.8333022602148952,0.9321886581478317,0.9936205900038724,0.9729701631005646,0.9233982056136791,0.9916697696680831,0.9779402650964562,0.9904530040256381,0.938998170647295,0.9458610389913796,0.9952177416310657,0.7315008989858968,0.5020932650158267,0.9841708923505303,0.585266765355058,0.5328782017687325,0.9177403713595024,0.8647007661009682,0.5377512028098694,0.9669267212092036,0.9293646204564395,0.953639736820525,0.9198840668238437,0.9440933208965313,1.0,0.927154558680174,0.9316424137662369,0.9809435355440799,0.9931152036722546,0.9849964566386152,0.9509216086801127
Julian_Διονυσίῳ,0.9165989237543468,0.9941288569669506,0.8875399214071813,0.9591494616678962,0.9335988979065314,0.985856094202536,0.9885143888478515,0.9298768262232088,0.9821182003939558,0.9558419421661182,0.9973947420332848,0.9943032232841906,0.9372136717137801,0.828515629104709,0.5709753049978811,0.9748492560786414,0.6763302742016656,0.6225350014001099,0.9319144114811261,0.9515441498501221,0.6239832569588121,0.9815826962342954,0.9993196100139167,0.9797224600751656,0.9959060670653327,0.9845813547139354,0.927154558680174,1.0,0.9557130710533619,0.968541849288799,0.9563407474190632,0.9646018958276007,0.9928800980026938
Julian_φραγμεντυμ επιστολαε,0.9746610219862408,0.9778631396390665,0.9731824084039995,0.9976658964530126,0.9094602563545885,0.9544285982646482,0.9083958875285381,0.9290954127773663,0.9519406518774132,0.9302603211068071,0.9433343459380625,0.9370530110910068,0.9535723848631239,0.9258706658783228,0.7545627404622987,0.9720172375210422,0.8242144214804169,0.785626700709866,0.9972728088092948,0.9800700869167611,0.7880693597545898,0.9285348758785102,0.9602569150100828,0.9112906642867863,0.9353712143839595,0.9127514944167466,0.9316424137662369,0.9557130710533619,1.0,0.9442297414346318,0.942322310843126,0.9610043461494336,0.9358611689407236
Julian_Τῷ αὐτῷ,0.859287070145047,0.9708072852526756,0.8458719492407372,0.9403524563152742,0.9773806419930295,0.9859374260537196,0.9632456896099933,0.9640554594074627,0.9882743068779721,0.982297704477959,0.9745056236743337,0.9774517483402375,0.9743664169222537,0.7583386430147401,0.5095997617451348,0.9925768935648482,0.6047719980572195,0.5489251530782108,0.9229174142329676,0.8989889119832314,0.5531508830186885,0.9929444710266455,0.9665031663764272,0.9853147935805403,0.9623549381230426,0.9724426067299519,0.9809435355440799,0.968541849288799,0.9442297414346318,1.0,0.9968438126350532,0.9973683306173289,0.980833875644161
Julian_Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.8509500526717338,0.9653286995404108,0.8432538867608885,0.940682360020294,0.9891719325202345,0.9857561728518957,0.9526690694403592,0.9801620660065935,0.9891587401257983,0.9907286999119084,0.965207433567145,0.9698879762513085,0.9873813009789691,0.7493655803931282,0.5062076353126475,0.9932950835829425,0.5977612537343093,0.5426723984963044,0.9237308684030247,0.8890743375501002,0.5471817038335132,0.9874123525996262,0.9557532982060012,0.9780011490892727,0.9506241534482772,0.9660440230115959,0.9931152036722546,0.9563407474190632,0.942322310843126,0.9968438126350532,1.0,0.9967355096049729,0.9735941857936296
Julian_Σαραπίωνι τῷ λαμπροτάτῳ,0.8820070849546853,0.9736416067508997,0.8745257425242327,0.9567127067220871,0.975422092302507,0.9843755496484194,0.9507261358399507,0.9688156912983845,0.9866541891367553,0.98091324721142,0.9681888779815118,0.9701268461251464,0.9828377153482155,0.7909903181703685,0.5616267521726288,0.9962552220983654,0.6494121857277417,0.5970046469566835,0.9448279302191864,0.9148702915786437,0.601321743865435,0.9845520948858417,0.9637976105725244,0.9737376572914751,0.9552801514991562,0.9607157847493356,0.9849964566386152,0.9646018958276007,0.9610043461494336,0.9973683306173289,0.9967355096049729,1.0,0.9728356653010114
Julian_Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.8730348686981572,0.9867598864968693,0.8450305135049416,0.9407120403469997,0.9628254795183302,0.9940087802687868,0.9952188763296831,0.9530971695689654,0.9925940280625613,0.9776948698476846,0.9979098148589464,0.999069469538232,0.9528645268971196,0.7681928694820399,0.49103815601999085,0.980619291041435,0.6008270836121574,0.542696561494634,0.9084778261255987,0.9160807853573399,0.544844186590357,0.9952234071825088,0.9920219718517131,0.9943275183896847,0.9925565277135837,0.9974133979684725,0.9509216086801127,0.9928800980026938,0.9358611689407236,0.980833875644161,0.9735941857936296,0.9728356653010114,1.0
