,Διονυσίῳ,φραγμεντυμ επιστολαε,Τῷ αὐτῷ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Σαραπίωνι τῷ λαμπροτάτῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
LUK,0.6113116485681908,0.8001559106307511,0.551383027878461,0.5505394067853185,0.6114060672668017,0.5277509499397743,0.9529371846909716,0.9967922397475435,0.6276859360282315,0.996693928960886,1.0,0.8424908232492507,0.8252073712965508,0.9999549847291279,0.49821164515898575,0.6212677815216923,0.4666021287209652,0.5718590710044406,0.4761225173548207,0.5562903295254117,0.885754086608383,0.6683774455331974,0.9196641953977696,0.7930827091803461,0.4764622507961219,0.5735252742964195,0.49027061589849286,0.5617940549566346,0.5645980429862236,0.5177717837889153,0.564194474998302,0.5402470851017521,0.6283350541545353
HEB,0.9386101653110286,0.9971590553059057,0.9123728856112422,0.9117406716068288,0.9400311006898943,0.8996495737542207,0.9651284087549035,0.8014197400267556,0.9477489984039053,0.87588335909991,0.8424908232492507,1.0,0.992927083939814,0.8420641226470886,0.8840271767959531,0.9436068611352915,0.8639183947629682,0.9154399501956382,0.8710738447580959,0.9148752941961779,0.9948665425412749,0.9620483448962172,0.985943853560873,0.9952085271534783,0.8707367535490799,0.9207045771279423,0.8761447237558895,0.9149618558019638,0.9166183394409679,0.8934248348601851,0.9158419816884129,0.9039074127955444,0.9455743794597063
REV,0.9486038037314674,0.9926192939573396,0.9214631114347906,0.921399675289761,0.9467608535992729,0.9122346355017027,0.9561495800786057,0.7789763029868227,0.9513971971707256,0.8639405420250325,0.8252073712965508,0.992927083939814,1.0,0.8250766639872623,0.8979311707016758,0.9508936788557047,0.8833811779201306,0.9350376770230453,0.8862663396754212,0.9218773713356662,0.9911768373862131,0.9683464189700409,0.9779668252135202,0.9955671980690832,0.8864861223980772,0.9344579163521438,0.8962478732703213,0.9271441588040207,0.9303738523182685,0.9078131667743258,0.9305921805639861,0.9199810117518626,0.9537789687107002
MAT,0.6108542128582408,0.7996949726659671,0.5511480851261724,0.5503151618821532,0.6111391078990526,0.5273752140374391,0.9526547348771636,0.99669983770681,0.6273170178278048,0.9969381570727771,0.9999549847291279,0.8420641226470886,0.8250766639872623,1.0,0.49797567966469947,0.6207966250251511,0.466436267468031,0.5716540789530399,0.47594851559262213,0.5560585467491497,0.8854275220261765,0.6679906418369546,0.9194352471730195,0.7927698386153906,0.47634902961466796,0.5732074825319017,0.48990337511654103,0.5615464381421262,0.5643314227862608,0.5175766008275726,0.5637547759726367,0.5398541955781755,0.6281230880545688
JUD,0.9900138980476448,0.9163147594252763,0.9974834370576339,0.9972715646887863,0.9898592378161264,0.999073179959727,0.73688636787133,0.43196076999131783,0.9861956279055142,0.5582970921050959,0.49821164515898575,0.8840271767959531,0.8979311707016758,0.49797567966469947,1.0,0.9877282531919236,0.9984492963118949,0.9932231452956833,0.9990970743640971,0.9950870283183872,0.8431890311798486,0.9774824007968131,0.7981030722628114,0.9227385006576649,0.9976950176418331,0.9952782789214271,0.9980955112120722,0.9941086449119914,0.9963039070352023,0.9985193235341226,0.9959757775598057,0.9978310186637971,0.9851179780793513
JAS,0.9996363819202148,0.9657698412073993,0.994520751018413,0.9935481257809411,0.9977442606801687,0.9930687304780829,0.8294551609416159,0.5613345962491327,0.9986145801800761,0.673781948335245,0.6212677815216923,0.9436068611352915,0.9508936788557047,0.6207966250251511,0.9877282531919236,1.0,0.9797124615245045,0.993200408209521,0.9836042058688449,0.9925415416744332,0.9138628549845323,0.9978098462190641,0.8787408644775939,0.9691751788952251,0.979855428243586,0.9959240308903273,0.9845077834313969,0.9917729564467035,0.9951122827079393,0.9884978015338187,0.9959072865145101,0.9931014001318436,0.9952110634332756
2JN,0.9834038177704749,0.8985449068114933,0.9926884089985138,0.9928801209011281,0.9824834918144469,0.995970720798278,0.7114607313264794,0.39814452382265747,0.9769993224549778,0.529059553660423,0.4666021287209652,0.8639183947629682,0.8833811779201306,0.466436267468031,0.9984492963118949,0.9797124615245045,1.0,0.9915318209910381,0.9985754111564334,0.9896511749555967,0.8225334493720008,0.9679258264389544,0.7746156387557727,0.9070611940396052,0.9979627957402486,0.9915688380069796,0.9989277474974747,0.9905272776221398,0.9929058578955062,0.9969111086473395,0.992661893903557,0.9957739760487282,0.9780199399516304
1JN,0.9958531337729515,0.9416741995019065,0.9941788379305665,0.9943517474888057,0.9931111639047323,0.99544946531007,0.7919990639391976,0.5070224577427331,0.9899545447043812,0.6298457451492117,0.5718590710044406,0.9154399501956382,0.9350376770230453,0.5716540789530399,0.9932231452956833,0.993200408209521,0.9915318209910381,1.0,0.9905500279880882,0.9914084933231972,0.8852883329708919,0.9888991447311111,0.8449033602627911,0.9498434111510322,0.9897066420704455,0.9984389506597333,0.9949660206521334,0.9949526069468948,0.9981896842411248,0.9948108533726026,0.9987033457672626,0.9982697116594001,0.9920582896431587
3JN,0.9860219001007476,0.9051834052256004,0.9943104544880194,0.9938791022683363,0.9845360389817044,0.9976082070392749,0.7195049123179846,0.40883189336343884,0.9808728110735403,0.5374331555508428,0.4761225173548207,0.8710738447580959,0.8862663396754212,0.47594851559262213,0.9990970743640971,0.9836042058688449,0.9985754111564334,0.9905500279880882,1.0,0.9912450836812383,0.8293013554970268,0.9717338603630096,0.7824671938854039,0.9121847368253967,0.996851409328732,0.9919335647381977,0.9976416550420969,0.990545542772331,0.9932520327779478,0.9967301712921585,0.9931086190221715,0.9956947539958545,0.9792337933042189
2PE,0.9933423873029915,0.9416967153985376,0.9986578840185002,0.9993920079252094,0.9968853488764439,0.996042592958587,0.7799384047239543,0.4940538857357663,0.9949256023238077,0.6125140682305154,0.5562903295254117,0.9148752941961779,0.9218773713356662,0.5560585467491497,0.9950870283183872,0.9925415416744332,0.9896511749555967,0.9914084933231972,0.9912450836812383,1.0,0.8760227059100999,0.9872863710156964,0.8369907410354439,0.9463717624173041,0.9939618114378382,0.9968939838031816,0.990150937326117,0.9983211164191818,0.9974170141632082,0.9972561475504425,0.995121535944788,0.9950991359019098,0.9953215417253363
