,manuscript_1,manuscript_2,manuscript_3,manuscript_4,manuscript_5
manuscript_1,1.0,0.989972409993072,0.9909657010987298,0.9801072720147443,0.9954308208188425
manuscript_2,0.989972409993072,1.0,0.9858513576314571,0.9977439605254105,0.9881236419091181
manuscript_3,0.9909657010987298,0.9858513576314571,1.0,0.9727953019310926,0.9992126272435892
manuscript_4,0.9801072720147443,0.9977439605254105,0.9727953019310926,1.0,0.9756387821707473
manuscript_5,0.9954308208188425,0.9881236419091181,0.9992126272435892,0.9756387821707473,1.0
