,manuscript_1,manuscript_2,manuscript_3,manuscript_4,manuscript_5
manuscript_1,1.0,0.9917184681733967,0.9937736289097738,0.9862531322916976,0.99704133026611
manuscript_2,0.9917184681733967,1.0,0.9952212995108163,0.9990717637763961,0.9950476666029853
manuscript_3,0.9937736289097738,0.9952212995108163,1.0,0.9904338164200303,0.9993745438305593
manuscript_4,0.9862531322916976,0.9990717637763961,0.9904338164200303,1.0,0.989867529158982
manuscript_5,0.99704133026611,0.9950476666029853,0.9993745438305593,0.989867529158982,1.0
