Book1,Book2,baseline,nlp_only,equal,vocabulary_focused,structure_focused
JHN,LUK,0.6788729077679001,0.40967531411892105,0.6791693691020444,0.7899689852445924,0.7893865659783763
JHN,HEB,0.07552462751879122,0.35162169398721715,-0.006792719743634247,0.26521991684797697,-0.2814666615423079
JHN,REV,0.4308715769611302,0.2341218380143543,0.41311861944310646,0.5356980016139428,0.4171378337781524
JHN,MAT,0.7696301605969408,0.4458518919946046,0.7731583308321097,0.8871012248312058,0.9101061712454231
JHN,JUD,-0.29271110226004116,-0.05287549628503496,-0.18756363364494816,-0.5698184976651847,0.13531624432277053
JHN,JAS,0.01426161715694349,-0.07869430697686675,0.16054796801632004,-0.3028502506609764,0.6765348278573252
JHN,2JN,-0.2642626107756074,0.08248535559000339,-0.20747476416803623,-0.427530166363739,-0.04984765053075424
JHN,1JN,0.6067158638241098,0.4478255302033158,0.6112226136757535,0.696094849990212,0.7233381215661602
JHN,3JN,-0.21331401276623263,0.03679190055138806,-0.12562995112081207,-0.4352469714071634,0.1485038630115466
JHN,2PE,-0.603183158788498,-0.1408934685768678,-0.6228430655144884,-0.658497226708637,-0.7905474774853728
LUK,HEB,0.02701986137336209,0.5092739025609532,-0.1025032431028838,0.3150404848521302,-0.550030135216356
LUK,REV,0.3236483147361394,0.306219629758939,0.27168053899295325,0.48835811765773984,0.1377871850256709
LUK,MAT,0.7287638855276537,0.5185149091288741,0.7225849552232745,0.8618231523043476,0.8189789621350749
LUK,JUD,-0.24022970324990417,-0.01319852010479744,-0.13047322203375478,-0.5208044940340406,0.21786621880662085
LUK,JAS,0.0445831728537146,0.09842392920627373,0.16958800848113295,-0.22001062997851142,0.6171784280092304
LUK,2JN,-0.35387841676503085,-0.019015548223662748,-0.305396501238163,-0.5128848079771025,-0.19225090592046784
LUK,1JN,0.3683702182673843,0.1939567086355379,0.36573223511014696,0.43746081588175467,0.41229444152381306
LUK,3JN,-0.23914764067281014,-0.015070908364539892,-0.15339017189514656,-0.45994131334615596,0.10953944331629159
LUK,2PE,-0.5572309022893865,0.02657103575940628,-0.5595488550548986,-0.6450511067810372,-0.6571608701280497
HEB,REV,0.10393190855290609,0.27518779970951057,0.16674061381195704,-0.014792525453927619,0.4020000296071635
HEB,MAT,0.1262936731652743,0.48721377048891495,0.029683868697399092,0.35636846288347646,-0.285862566430609
HEB,JUD,-0.22301313266589706,0.13510892353940235,-0.18749093746844608,-0.33195513670421906,-0.09689767602444624
HEB,JAS,0.0489810499081291,0.27437365731105307,-0.03933423117648044,0.24723255303036742,-0.3446620271910933
HEB,2JN,-0.13069525381715486,-0.0005938305180779313,-0.02858680040216799,-0.3764491171235061,0.3120094336741293
HEB,1JN,-0.007673140590290117,0.08688351372294395,0.01339442090739252,-0.05834876926410064,0.08413290578992108
HEB,3JN,-0.3197484514684406,0.02655108466563097,-0.30589259837841953,-0.4086381779089677,-0.3052173558578436
HEB,2PE,0.10300319848843259,0.18212249240766246,0.14953859690785898,0.022892915042559584,0.3288095464724715
REV,MAT,0.41658340858957077,0.38115967993096483,0.4058950020224875,0.5041163623160944,0.43192646548404234
REV,JUD,-0.24320944920703172,-0.057689140975273,-0.10897951598150493,-0.5722550743191728,0.32343408431512244
REV,JAS,-0.2783820164826706,0.08324604690815995,-0.17474970974693171,-0.5545158322740341,0.14281073378773676
REV,2JN,-0.12142328996115603,0.06071096749865454,-0.041001371252978966,-0.31142290174057324,0.2231034021176423
REV,1JN,0.651008838651568,0.39064768473217,0.6413184304498413,0.7759067453256947,0.7126208387083952
REV,3JN,-0.4209165332878162,-0.08396419777515429,-0.3849481016888545,-0.5715149952493056,-0.3275298077999963
REV,2PE,-0.45478653665360835,0.09154249585515856,-0.391205668573018,-0.6621370639850837,-0.24193215277901053
MAT,JUD,-0.25872957035435484,-0.10167003569848826,-0.14091613816757306,-0.5585378882306276,0.23199344835865246
MAT,JAS,0.03984547548909864,0.05113979603985533,0.17954520973323523,-0.25874874741550447,0.677097550134378
MAT,2JN,-0.25865910152986393,0.12130448815819084,-0.21229950189178692,-0.39697840015169683,-0.08986043441916253
MAT,1JN,0.542149015396291,0.28918618576657135,0.5600379207329167,0.5920800541765744,0.707406593929618
MAT,3JN,-0.19184152601627466,0.03969972928271906,-0.1137850871794151,-0.3893850569325675,0.1307153048485679
MAT,2PE,-0.5543037243946922,0.04034702593903536,-0.5729502732942438,-0.6042432112069132,-0.7284530966421283
JUD,JAS,0.37888285804484356,0.5227650274286737,0.36357169855178734,0.47214550192247445,0.37552501906663815
