Config,Author Internal Avg,Author Internal StdDev,Pauline Internal Avg,Pauline Internal StdDev,Author-Pauline Avg,Author-Pauline StdDev,Avg Difference (Author - Pauline),Avg Difference (Author - Cross),Avg Difference (Pauline - Cross)
baseline,0.5030886747798294,0.201593677383654,0.2537629312318261,0.33558120714659595,-0.38837852132780426,0.2979687821669124,0.24932574354800335,0.8914671961076337,0.6421414525596303
nlp_only,0.9894148024062981,0.007162689444609446,0.9452636593517181,0.04073482080924456,-0.970177797189419,0.023760304628595696,0.04415114305458001,1.959592599595717,1.915441456541137
equal,0.5471907220242236,0.17824423396709269,0.25611092545421726,0.3284711755849571,-0.3978663352966495,0.2846841638952703,0.2910797965700063,0.9450570573208731,0.6539772607508667
vocabulary_focused,0.32628646268950195,0.3031726382705336,0.12634510432520202,0.4547665852527875,-0.2671859844519264,0.41348787653050995,0.19994135836429994,0.5934724471414283,0.3935310887771284
structure_focused,0.6233008716805764,0.1966534499651408,0.14326511931254163,0.4646114399808881,-0.3324503923791362,0.37976098974553124,0.48003575236803475,0.9557512640597126,0.4757155116916778
