,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,Julian_Διονυσίῳ,Julian_φραγμεντυμ επιστολαε,Julian_Τῷ αὐτῷ,Julian_Ἀνεπίγραφος ὑπὲρ Ἀργείων,Julian_Σαραπίωνι τῷ λαμπροτάτῳ,Julian_Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι
ACT,0.8436360227076496,0.6052945187824368,0.8798978958948622,0.7447622558175346,0.4085007782378342,0.5092859449909237,0.42144160879294484,0.4984829208577453,0.5000093471742494,0.45141018934485927,0.49931501883462576,0.47402939229686863,0.5693004794445172,0.9272619851696097,1.0,0.5687850446564626,0.9873418574398662,0.9968115000528509,0.8017816305074684,0.7787008315302636,0.996708128572565,0.43094125870458544,0.5606982274477099,0.3970495122903529,0.5063314808118827,0.4078448147381016,0.4941297004735245,0.5496168494365056,0.7546168158773895,0.4876634125145985,0.4868197618614424,0.5512239031941594,0.4618206689012407
1PE,0.9203342696216882,0.9983554271512315,0.8908132456178003,0.9718027524834137,0.9801772607972262,0.9950195084780729,0.9815519565625157,0.9936484396768863,0.9943352233283234,0.9883434120649999,0.9941987067344082,0.9911088973836527,0.9980023735823367,0.8340535327799894,0.5687850446564626,1.0,0.6798487863351472,0.6280955164588549,0.9474340088466344,0.9522712683716174,0.6275901909891282,0.9862641792694639,0.9995187594547075,0.9771696249572729,0.9909930768042777,0.9813695733723251,0.9955671378619182,0.9987732927492718,0.9687635208479958,0.995042423711128,0.9946217956754897,0.9993351342161004,0.9914533617397249
JHN,0.9118568127625807,0.7137016463006639,0.9383821182902276,0.8329515905993331,0.5384326379530311,0.6300505222674,0.5508773414057138,0.6200898361778309,0.6217373361251027,0.5775500238296601,0.6207045407650734,0.5981519049102596,0.6830375581719853,0.9707846039280714,0.9873418574398662,0.6798487863351472,1.0,0.996696017611683,0.8767258633642302,0.8638560075530686,0.9969362030792704,0.5579180069779354,0.6734423608513659,0.5285291612055664,0.6294370918171966,0.5368772001893161,0.6140260491966459,0.6645893539306833,0.8385752542073126,0.6085523635505344,0.6082247157635445,0.6656412029057145,0.5855667744157299
LUK,0.8817619254728597,0.6633515017762307,0.9130080317999054,0.7928243791900724,0.47672367409890015,0.5733625494434836,0.48974256909318914,0.5629032108209193,0.5644831313932231,0.5179096370442785,0.5638202966132841,0.5398021320388892,0.6298637383624924,0.9529229396755438,0.9968115000528509,0.6280955164588549,0.996696017611683,1.0,0.8433654412521391,0.8251284577397621,0.9999569838705553,0.49781684180798647,0.6209314283488165,0.4660633368457161,0.5714510829866191,0.47555685143731974,0.5576211251119665,0.6109682573177577,0.8007102167436865,0.5516154793492817,0.5510452742579899,0.6121179291144597,0.5272929390497751
HEB,0.996181102009162,0.9602172898507076,0.9888317200316752,0.9951492278653367,0.8701128276354216,0.920249552792294,0.8761917324689381,0.9151060320163119,0.9160952572680334,0.8928188770079791,0.9158807891410372,0.9037258956414088,0.9458314791091429,0.9660521547203962,0.8017816305074684,0.9474340088466344,0.8767258633642302,0.8433654412521391,1.0,0.9935678132243295,0.8428364078473243,0.8834120044360814,0.9438677389077167,0.8633287581689643,0.9157384941617941,0.8707254116515621,0.915031203690202,0.93889786656998,0.9971569137642304,0.9119999205387774,0.911351283865071,0.9398966807279894,0.8993710017862764
REV,0.9921626350887628,0.9669083318174022,0.9812798342968185,0.99591939104631,0.8881756273589233,0.9347347345650142,0.896041049072203,0.9296079504156716,0.9307599228352484,0.908911104040293,0.9304745878061698,0.9198602678410891,0.9563103629652925,0.9561339724638159,0.7787008315302636,0.9522712683716174,0.8638560075530686,0.8251284577397621,0.9935678132243295,1.0,0.8249581815443611,0.898048891509331,0.9508007191245464,0.8833115922356808,0.9349131176647005,0.886077251208439,0.9246919821493809,0.9485108879111777,0.9930935540065056,0.9224316004468455,0.9228622720446247,0.9481410877092005,0.9121192729154622
MAT,0.8814014274009188,0.6628945486118277,0.9127322157970951,0.79242823350964,0.4764423254051509,0.5729421579275389,0.48931411365454913,0.5624995089922286,0.5641049638074664,0.5175746527923868,0.5633109819100884,0.539332695203961,0.6294832489116895,0.9526272523528321,0.996708128572565,0.6275901909891282,0.9969362030792704,0.9999569838705553,0.8428364078473243,0.8249581815443611,1.0,0.497463190066444,0.6204021855924288,0.4657910856974189,0.5711913696076519,0.4753064220756036,0.5571923527681085,0.6104499356061356,0.80015140322344,0.5512229864714628,0.5506487910111878,0.6116865253963772,0.5268348883764747
JUD,0.8477372652260946,0.9789455565646515,0.8078775351953774,0.9229439431916087,0.998732473564096,0.9953840267712715,0.9985159431873134,0.995685235312554,0.9964211907054132,0.9991214781048331,0.9962287935451323,0.998020874206686,0.9862639195991278,0.7368667665310132,0.43094125870458544,0.9862641792694639,0.5579180069779354,0.49781684180798647,0.8834120044360814,0.898048891509331,0.497463190066444,1.0,0.9880553295425574,0.9984683523605207,0.9936669009105908,0.9993414663203994,0.9965784297165131,0.990339860927796,0.9158813449638759,0.9976959146816494,0.9977599295834434,0.9901343878642052,0.999222255492097
JAS,0.9171089252900894,0.9982593636838564,0.8865371427092378,0.9696730877797868,0.9819069274324069,0.996290573758893,0.9844754005925286,0.9944044881808539,0.9956017884072773,0.98981051131199,0.9959295440439762,0.9931159469709091,0.9977233528750559,0.8292617639855816,0.5606982274477099,0.9995187594547075,0.6734423608513659,0.6209314283488165,0.9438677389077167,0.9508007191245464,0.6204021855924288,0.9880553295425574,1.0,0.9798609865404555,0.9931970396074247,0.9836070434359833,0.9956067995630358,0.9996465315219726,0.9659967279949594,0.9956820314905827,0.995211213753544,0.999192589162534,0.9931083189596295
2JN,0.8271828107828932,0.9695661230674487,0.7848221937892593,0.907273743429663,0.9993287246871962,0.9917012108717549,0.9991795745970712,0.992423383802331,0.9930824636054327,0.997721700333545,0.9927633949238854,0.9958601433428433,0.9794684492292928,0.7112426930652633,0.3970495122903529,0.9771696249572729,0.5285291612055664,0.4660633368457161,0.8633287581689643,0.8833115922356808,0.4657910856974189,0.9984683523605207,0.9798609865404555,1.0,0.9917853594836444,0.9987267569326623,0.9915134991176241,0.98354636697648,0.8981032750799512,0.9930315530733892,0.9935964814471555,0.9829202354456019,0.9960309294925171
1JN,0.8890308067905756,0.9898931836434681,0.853710632722114,0.9504420114336924,0.9921473204267314,0.9989529970194267,0.9949598170526563,0.9979690217263346,0.9988473587570785,0.9964172730636323,0.9987237810112862,0.998343775095828,0.9948811946154135,0.7917381796153939,0.5063314808118827,0.9909930768042777,0.6294370918171966,0.5714510829866191,0.9157384941617941,0.9349131176647005,0.5711913696076519,0.9936669009105908,0.9931970396074247,0.9917853594836444,1.0,0.9906321101532968,0.994815179372783,0.9958518723926146,0.9419347289650315,0.9954874019522783,0.9962466478503718,0.9947122108857426,0.9955526228533151
3JN,0.833698556052461,0.9731802004406522,0.7924715869014589,0.9124126201416275,0.9984516575872528,0.9920665765617882,0.9977060790301057,0.9924922629618866,0.9934798921132809,0.9976342818923366,0.9931293774379546,0.9956924871386159,0.9809787563898885,0.7191486505789852,0.4078448147381016,0.9813695733723251,0.5368772001893161,0.47555685143731974,0.8707254116515621,0.886077251208439,0.4753064220756036,0.9993414663203994,0.9836070434359833,0.9987267569326623,0.9906321101532968,1.0,0.9936319726156155,0.9860720458716142,0.9049448290655433,0.9952219741753058,0.995137055990943,0.9855797053329796,0.9976149641895077
2PE,0.882489708142033,0.9902574485561186,0.847427363540108,0.9476947239027591,0.9940080290390171,0.998213732809318,0.9933640205590982,0.9986353336270735,0.998517098921011,0.997668069205954,0.9979123392720752,0.9975720478582039,0.9953391303508276,0.7823628054052085,0.4941297004735245,0.9955671378619182,0.6140260491966459,0.5576211251119665,0.915031203690202,0.9246919821493809,0.5571923527681085,0.9965784297165131,0.9956067995630358,0.9915134991176241,0.994815179372783,0.9936319726156155,1.0,0.996526030439569,0.942433142896416,0.9995596640241188,0.9997343953475897,0.9975004373095673,0.9983349021038366
Julian_Διονυσίῳ,0.9121205167717168,0.9975696413361136,0.8804292829733142,0.9666253350605789,0.9851935968624853,0.9980522797940636,0.9879527828786917,0.9963291417662027,0.9974574128198942,0.992337676296818,0.9977681425665608,0.9954615478201236,0.9982588444095905,0.8221509831339507,0.5496168494365056,0.9987732927492718,0.6645893539306833,0.6109682573177577,0.93889786656998,0.9485108879111777,0.6104499356061356,0.990339860927796,0.9996465315219726,0.98354636697648,0.9958518723926146,0.9860720458716142,0.996526030439569,1.0,0.9619241970630038,0.9967340773318765,0.9965524520451201,0.9993706467814264,0.9947410187365382
Julian_φραγμεντυμ επιστολαε,0.9878075308887575,0.9782948601807183,0.9751361905853242,0.99903216775686,0.9039226202408535,0.9463987572566085,0.9091637364682984,0.9419419481892922,0.9430031566331689,0.9234972914512745,0.9429260179445188,0.932750776687443,0.9667877771010636,0.94419773677975,0.7546168158773895,0.9687635208479958,0.8385752542073126,0.8007102167436865,0.9971569137642304,0.9930935540065056,0.80015140322344,0.9158813449638759,0.9659967279949594,0.8981032750799512,0.9419347289650315,0.9049448290655433,0.942433142896416,0.9619241970630038,1.0,0.940082608023675,0.9394048101290926,0.9626723581111766,0.9295404386644966
Julian_Τῷ αὐτῷ,0.87942728857427,0.9897534618913932,0.8436895908332629,0.9454370554387422,0.9945072085726759,0.9982840407028131,0.9946213667761094,0.9979896377566134,0.9986708854832004,0.9979473366724948,0.9983857797096403,0.9982309342600258,0.9941784561510606,0.7780727816129486,0.4876634125145985,0.995042423711128,0.6085523635505344,0.5516154793492817,0.9119999205387774,0.9224316004468455,0.5512229864714628,0.9976959146816494,0.9956820314905827,0.9930315530733892,0.9954874019522783,0.9952219741753058,0.9995596640241188,0.9967340773318765,0.940082608023675,1.0,0.9998537571075569,0.9971756046822899,0.9991870393269
Julian_Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.8790367978738238,0.9895243317969572,0.8431823298866383,0.9452562391793035,0.995315840968029,0.9987891437872262,0.9952645268124211,0.9988470276417558,0.999159888816089,0.998580275523506,0.9987220930075322,0.9986795720631277,0.994745619709573,0.7775686200788138,0.4868197618614424,0.9946217956754897,0.6082247157635445,0.5510452742579899,0.911351283865071,0.9228622720446247,0.5506487910111878,0.9977599295834434,0.995211213753544,0.9935964814471555,0.9962466478503718,0.995137055990943,0.9997343953475897,0.9965524520451201,0.9394048101290926,0.9998537571075569,1.0,0.9971037545016614,0.999115334918133
Julian_Σαραπίωνι τῷ λαμπροτάτῳ,0.9123410551530409,0.9974038469322886,0.881225409901689,0.9670521402457171,0.9854607100511568,0.9976567101029123,0.9866720134623762,0.9966191922647789,0.9971951131438166,0.9923755781563018,0.9968748300922436,0.9945811003043273,0.9989332247941111,0.8226279679397707,0.5512239031941594,0.9993351342161004,0.6656412029057145,0.6121179291144597,0.9398966807279894,0.9481410877092005,0.6116865253963772,0.9901343878642052,0.999192589162534,0.9829202354456019,0.9947122108857426,0.9855797053329796,0.9975004373095673,0.9993706467814264,0.9626723581111766,0.9971756046822899,0.9971037545016614,1.0,0.9942019093087965
Julian_Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.8656560168180507,0.9855378270617152,0.8277677057876828,0.9357342506611411,0.9966622213392548,0.9976872519928109,0.9974482165535167,0.9974101088702191,0.9982615849142702,0.9989139670109846,0.9984063462994375,0.999080800873847,0.9908749931715406,0.7599006566094216,0.4618206689012407,0.9914533617397249,0.5855667744157299,0.5272929390497751,0.8993710017862764,0.9121192729154622,0.5268348883764747,0.999222255492097,0.9931083189596295,0.9960309294925171,0.9955526228533151,0.9976149641895077,0.9983349021038366,0.9947410187365382,0.9295404386644966,0.9991870393269,0.999115334918133,0.9942019093087965,1.0
