,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE
1TI,-0.22379474601212665,-0.027922882051633457,-0.3738337232000531,-0.1083362722311379,0.12355894347737166,0.6589020109176458,0.7105856148008332,0.6588034649207748,0.18369266377695492,0.12873968046745451,1.0,0.8630350228076247,0.3030143011128257,-0.33934978671523064,-0.307697867230291,0.4387704133047481,-0.5390608860497154,-0.4543555081471018,-0.062814547611557,-0.0436815787323242,-0.5180817194092923,0.31839879439535773,0.46513728600612064,0.07342306094789738,-0.1991084251302543,-0.0211664298722999,0.2956207552257482
2TI,-0.30465674295178047,0.01632717363452696,-0.38075166090177437,-0.06112967441210457,0.1411462806226333,0.7486907067129223,0.7266037158313856,0.6295742069480329,0.2839314605903841,0.30850956301713955,0.8630350228076247,1.0,0.35171329578214516,-0.4284771815862354,-0.3421763433234431,0.5618690391543432,-0.569551637495055,-0.5033460517155879,-0.08871147199916093,-0.14241026995027778,-0.5896919767151542,0.4719790677569804,0.5058843899866121,-0.005151752742749691,-0.3047760037944056,-0.05988472693942376,0.3795623158926261
EPH,0.27699998072627013,0.11823135546322155,0.2894085130396167,0.5404340612166839,-0.35657184258045094,0.6884153775470114,-0.11281876341901267,0.5951424092001196,0.7585132330068937,0.040687376882041534,0.3030143011128257,0.35171329578214516,1.0,0.07263972415547224,-0.05603570281764869,0.03322443421914234,-0.006843743670885541,-0.07943043955729381,0.2302249125019947,0.22505167105842275,-0.1239987335239555,-0.3528628623234933,0.04219127930350003,-0.6099886677657521,0.1853870099219953,-0.6985933460766538,0.021616758324895347
MRK,0.7574894630613316,-0.061839809683440494,0.6395678361645556,0.38272404941403476,-0.7930458399538218,-0.3780645540562777,-0.533724102603512,-0.3860239629272846,-0.2296780264785153,-0.7677139439186568,-0.33934978671523064,-0.4284771815862354,0.07263972415547224,1.0,0.730389461573661,-0.4987739755261188,0.7382920083872813,0.8892628859364641,0.26509786918640965,0.5786660944951899,0.8022008403994474,-0.6569888773375641,-0.2801950649973734,-0.5853825458954844,0.4872136301558786,-0.5533947702493597,-0.7025111105594659
ACT,0.6978563369575448,0.193843809454828,0.6722627541577118,0.41036490405763526,-0.6982814390805859,-0.3893061328078329,-0.5612713647672438,-0.5517281719327398,-0.39596750499512834,-0.764901102693617,-0.307697867230291,-0.3421763433234431,-0.05603570281764869,0.730389461573661,1.0,-0.021126913729115224,0.6838330977594272,0.8135019621794461,0.6058408214029198,0.33473965505433345,0.7723308203640004,-0.40287498804639427,0.04410081015985552,-0.49777281980962634,0.2591054621489083,-0.47608648471581194,-0.45962321525640204
1PE,-0.24702876083290562,0.4034263387574127,-0.11688867958876188,0.06083579628107935,0.2631400980160502,0.4082574037952406,0.313779440633927,0.18456587824056817,-0.019163069347310685,0.2808880442991557,0.4387704133047481,0.5618690391543432,0.03322443421914234,-0.4987739755261188,-0.021126913729115224,1.0,-0.44863242490472355,-0.40294762226973924,0.37088228431030723,-0.5721815367566874,-0.40518166970708996,0.5783869095954779,0.76069063861876,0.03754025465724778,-0.6019834095712466,0.1555563689320573,0.6224719810635866
JHN,0.701301111248904,0.10467898521306734,0.6617580127433105,0.28120661747749587,-0.7313069741042644,-0.4868415480634253,-0.6350943231891822,-0.6047082519735176,-0.10318338802205237,-0.6016890076183845,-0.5390608860497154,-0.569551637495055,-0.006843743670885541,0.7382920083872813,0.6838330977594272,-0.44863242490472355,1.0,0.7899689852445924,0.26521991684797697,0.5356980016139428,0.8871012248312058,-0.5698184976651847,-0.3028502506609764,-0.427530166363739,0.696094849990212,-0.4352469714071634,-0.658497226708637
LUK,0.7084724692430391,-0.010125876003038908,0.6483604212563354,0.3145758186754496,-0.7725923539000501,-0.5090725960276146,-0.5786456741782271,-0.5917326735362801,-0.3308619701914064,-0.7467832094708318,-0.4543555081471018,-0.5033460517155879,-0.07943043955729381,0.8892628859364641,0.8135019621794461,-0.40294762226973924,0.7899689852445924,1.0,0.3150404848521302,0.48835811765773984,0.8618231523043476,-0.5208044940340406,-0.22001062997851142,-0.5128848079771025,0.43746081588175467,-0.45994131334615596,-0.6450511067810372
HEB,0.5043112101409,0.40349614399639344,0.5358389915293418,0.5434251603608359,-0.34089660195302535,0.06384082316608566,-0.5101500198024211,-0.1267515661953316,-0.06842679100820698,-0.48993868021797027,-0.062814547611557,-0.08871147199916093,0.2302249125019947,0.26509786918640965,0.6058408214029198,0.37088228431030723,0.26521991684797697,0.3150404848521302,1.0,-0.014792525453927619,0.35636846288347646,-0.33195513670421906,0.24723255303036742,-0.3764491171235061,-0.05834876926410064,-0.4086381779089677,0.022892915042559584
REV,0.3580677654888522,-0.5011820892681581,0.13891235607479774,-0.0190527455735646,-0.5867142314794136,-0.10518002721434458,-0.21364468549927962,-0.13128023120009122,0.035589158144039595,-0.5793491019318888,-0.0436815787323242,-0.14241026995027778,0.22505167105842275,0.5786660944951899,0.33473965505433345,-0.5721815367566874,0.5356980016139428,0.48835811765773984,-0.014792525453927619,1.0,0.5041163623160944,-0.5722550743191728,-0.5545158322740341,-0.31142290174057324,0.7759067453256947,-0.5715149952493056,-0.6621370639850837
MAT,0.6989349793819238,0.044275880445336147,0.6430170821892811,0.2325645074086956,-0.720395334476212,-0.5821024165736073,-0.6355674512602663,-0.6638030880907209,-0.2761765421724979,-0.7163478850312484,-0.5180817194092923,-0.5896919767151542,-0.1239987335239555,0.8022008403994474,0.7723308203640004,-0.40518166970708996,0.8871012248312058,0.8618231523043476,0.35636846288347646,0.5041163623160944,1.0,-0.5585378882306276,-0.25874874741550447,-0.39697840015169683,0.5920800541765744,-0.3893850569325675,-0.6042432112069132
JUD,-0.6663257553344787,0.05130660750444569,-0.5355452166654445,-0.4565729605008847,0.5084963057501757,0.14234231163992228,0.6329296446255376,0.029481463667491298,-0.11262025188384694,0.6113593252645335,0.31839879439535773,0.4719790677569804,-0.3528628623234933,-0.6569888773375641,-0.40287498804639427,0.5783869095954779,-0.5698184976651847,-0.5208044940340406,-0.33195513670421906,-0.5722550743191728,-0.5585378882306276,1.0,0.47214550192247445,0.45105559370448944,-0.5619452719643753,0.5645551448755737,0.5794890769657726
JAS,-0.027037001998120577,0.510576808262825,0.07412483065884873,0.07805131499580248,0.06958105877522726,0.29977522586897976,0.3101572533749051,0.14825241649293416,0.015100568840436368,0.1834185229484177,0.46513728600612064,0.5058843899866121,0.04219127930350003,-0.2801950649973734,0.04410081015985552,0.76069063861876,-0.3028502506609764,-0.22001062997851142,0.24723255303036742,-0.5545158322740341,-0.25874874741550447,0.47214550192247445,1.0,-0.07073022999331616,-0.47242368875185703,0.17946792195524053,0.5015833849007126
2JN,-0.6343396431634377,-0.1841851201454442,-0.6814969122798051,-0.6697161674596841,0.7376794052344033,-0.24066188216746717,0.4482707019490905,-0.06813845864949825,-0.2886375297602984,0.33777493107283474,0.07342306094789738,-0.005151752742749691,-0.6099886677657521,-0.5853825458954844,-0.49777281980962634,0.03754025465724778,-0.427530166363739,-0.5128848079771025,-0.3764491171235061,-0.31142290174057324,-0.39697840015169683,0.45105559370448944,-0.07073022999331616,1.0,-0.22357875032478225,0.7674775067811825,0.3070938119289793
1JN,0.42546853988265465,-0.22266548933147964,0.28604980123415796,-0.019387275275258874,-0.5681735066758558,-0.2253225456625293,-0.3188878727711265,-0.238709535061395,0.19608969041412067,-0.4182727530342506,-0.1991084251302543,-0.3047760037944056,0.1853870099219953,0.4872136301558786,0.2591054621489083,-0.6019834095712466,0.696094849990212,0.43746081588175467,-0.05834876926410064,0.7759067453256947,0.5920800541765744,-0.5619452719643753,-0.47242368875185703,-0.22357875032478225,1.0,-0.4136960064544106,-0.5953228286424219
3JN,-0.5826673827976971,0.013396273924322855,-0.5267440637451812,-0.5889794393055872,0.7236574663347277,-0.27275485236963043,0.38458538480942145,-0.13080033924912177,-0.37020489945324975,0.438406013142236,-0.0211664298722999,-0.05988472693942376,-0.6985933460766538,-0.5533947702493597,-0.47608648471581194,0.1555563689320573,-0.4352469714071634,-0.45994131334615596,-0.4086381779089677,-0.5715149952493056,-0.3893850569325675,0.5645551448755737,0.17946792195524053,0.7674775067811825,-0.4136960064544106,1.0,0.3581377715361553
2PE,-0.575510306453916,0.11831398180435898,-0.37629093048062134,-0.249192031660683,0.5721865436206092,0.26859280452063417,0.34457986298058674,0.28114562219552863,0.24927363811655112,0.6269369464001292,0.2956207552257482,0.3795623158926261,0.021616758324895347,-0.7025111105594659,-0.45962321525640204,0.6224719810635866,-0.658497226708637,-0.6450511067810372,0.022892915042559584,-0.6621370639850837,-0.6042432112069132,0.5794890769657726,0.5015833849007126,0.3070938119289793,-0.5953228286424219,0.3581377715361553,1.0
