,Τῷ αὐτῷ,φραγμεντυμ επιστολαε,Σαραπίωνι τῷ λαμπροτάτῳ,Διονυσίῳ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,ACT,HEB,JHN,REV,LUK,MAT,2PE,MRK,JUD,1JN,JAS,1PE,2JN,3JN,2CO,1CO,ROM,2TI,1TI,PHM,EPH,2TH,PHP,COL,1TH,TIT,GAL
LUK,0.9974883945844976,0.9980239135776676,0.9746785663128503,0.9974920792524264,0.9988637930928668,0.9979963798789644,0.9958847016097272,0.9886956216272342,0.9992980847762103,0.9718464785186313,1.0,0.9996636281624502,0.9799483342816001,0.9996786535865134,0.979616001134878,0.9991846972824441,0.9973584549451688,0.9815643298902679,0.9978592596935452,0.9974284046910454,0.9953769162932433,0.9986440565014323,0.9826983204173076,0.9844277614944845,0.9865531455377845,0.9802383725126508,0.9526707390830141,0.968013299166775,0.9877855452551096,0.9704654351496407,0.9918526144707076,0.9794991370823585,0.99083745176054
MAT,0.9960211575735759,0.9989524093038098,0.9798008646148015,0.9959186867075928,0.9993863727435242,0.9988800052212548,0.9976306994414654,0.9917886526199635,0.9981887047195971,0.9769732618388977,0.9996636281624502,1.0,0.9842946715093138,0.9988994044846805,0.9838171228555417,0.9989919759517567,0.9985905721443186,0.9857102448265102,0.9988864550126271,0.9956514356175318,0.9973563449996603,0.9995283699850189,0.9867578197269181,0.9881868534590555,0.9899879982432993,0.9844391355324803,0.9594154611457512,0.9735530838347685,0.9912297110646976,0.9758337790556775,0.9944750460621031,0.9836882118571763,0.9937120345128055
2PE,0.9683941004366025,0.9869191913420395,0.9979641968612144,0.96655504345579,0.9844621245213419,0.9878824027262254,0.993510644974376,0.9969826768782558,0.9726228043258265,0.9972146707181447,0.9799483342816001,0.9842946715093138,1.0,0.9760227357215012,0.9990163771167987,0.9778373999873998,0.9907574766520519,0.9989974610693364,0.9881644704436984,0.9651942185751012,0.9934788048598754,0.9879434046406118,0.997671775634022,0.9983196929586731,0.9985510461316822,0.996868365523212,0.9902162289959692,0.9963464414543626,0.9979864146534952,0.9969254330187947,0.9955346390490357,0.9976745786108547,0.9967144233818918
MRK,0.9988293842321928,0.9967734432816335,0.9702243344561312,0.9987668805511061,0.9983505519927959,0.9969562685695269,0.9937680822313515,0.9851242121419012,0.9996920698868126,0.9667296032039988,0.9996786535865134,0.9988994044846805,0.9760227357215012,1.0,0.9754025133902481,0.9988336772563108,0.9956756600640706,0.9773575311325408,0.9964080105080482,0.9985586151903824,0.9931786927510523,0.9973723803235718,0.9783119699183449,0.9803316850867418,0.9831496387470738,0.9756253138391631,0.945781124881522,0.9624116699288516,0.9842801150185297,0.9650837434661004,0.9887300942746748,0.9752640401594151,0.9876388547466108
JUD,0.9673641864631252,0.9876026542432887,0.9982564047166862,0.9656574144769514,0.9839156831181044,0.987960847359143,0.9935541997711075,0.9978898684959734,0.9717608942356285,0.9976895722647365,0.979616001134878,0.9838171228555417,0.9990163771167987,0.9754025133902481,1.0,0.9772097818380481,0.9911143798646633,0.9992233811691373,0.9877390978210385,0.9642576321913405,0.9926381394217143,0.9876184150487098,0.9982189480396878,0.9987910556102281,0.9984760013778289,0.9962788191090555,0.9911420435946298,0.9963504153903096,0.9973245299609805,0.9965828733312563,0.995593599326167,0.998771322125752,0.9968366764534698
1JN,0.9965634780202693,0.9972463016783778,0.9736806329835447,0.997147663298476,0.9981772068247678,0.9963299978544709,0.9944913028732169,0.9873225685370314,0.9988847982878393,0.9701314570361718,0.9991846972824441,0.9989919759517567,0.9778373999873998,0.9988336772563108,0.9772097818380481,1.0,0.9958679110696141,0.9798738317790074,0.9972069442791797,0.9971160762524717,0.9943756392447072,0.99782034803552,0.9817762345939941,0.9829779182375096,0.9844285289315251,0.9792527573437407,0.9516196401896829,0.9664854813300781,0.9867566728062417,0.9692959441294563,0.9907643482028108,0.9772280026652072,0.9898205440540772
JAS,0.9914698969651501,0.9992597741963689,0.9873010969112038,0.9909392774719651,0.9982201115696797,0.9993986754282029,0.9995050766085722,0.9964610539634702,0.9940246691835863,0.9855322773630132,0.9973584549451688,0.9985905721443186,0.9907574766520519,0.9956756600640706,0.9911143798646633,0.9958679110696141,1.0,0.9923440298078778,0.9991096094930811,0.990254221936249,0.9990027480041835,0.9994734409561318,0.9926454180006228,0.9940509494863459,0.9955387399416107,0.9902890645733563,0.9704636004499048,0.9822481283090495,0.9956117864769763,0.984003745242051,0.9976830420136932,0.9912710616906449,0.9973361736823748
1PE,0.9692913964925456,0.9890830101081863,0.9981834360053956,0.9679064193752613,0.9855453439898577,0.9892723472041157,0.9945236320596375,0.9985796472710227,0.9742040866221171,0.9987221383027406,0.9815643298902679,0.9857102448265102,0.9989974610693364,0.9773575311325408,0.9992233811691373,0.9798738317790074,0.9923440298078778,1.0,0.9901848523183541,0.9666897872063317,0.9946889799689662,0.9894138697770222,0.9994234192406507,0.9996712762771853,0.9992234146435666,0.9983354818088528,0.9922114364762807,0.9975585855319381,0.9989158234256384,0.9981135100705325,0.9973250788558419,0.9990809897997609,0.9977885896875565
2JN,0.9926434407829022,0.9986582479511902,0.9842288449022357,0.9920541544260848,0.998122950164716,0.9987445991898838,0.9984351310419814,0.9943175311645153,0.995310063449469,0.9832550897552126,0.9978592596935452,0.9988864550126271,0.9881644704436984,0.9964080105080482,0.9877390978210385,0.9972069442791797,0.9991096094930811,0.9901848523183541,1.0,0.9920530220673204,0.9988072130536904,0.9991357625590559,0.9907586668525395,0.9919746724350988,0.9934888392494924,0.9895633159263638,0.9676875453426242,0.9802256918706213,0.9945299072682507,0.9823017460898743,0.9968952454960082,0.9886175130673679,0.9956253236303364
3JN,0.9986914155162713,0.9922567061540958,0.9585287017123753,0.9992872030842457,0.9947763971470723,0.9924339570136375,0.9872963184394105,0.9763104532743344,0.9991739520287083,0.9540726014739522,0.9974284046910454,0.9956514356175318,0.9651942185751012,0.9985586151903824,0.9642576321913405,0.9971160762524717,0.990254221936249,0.9666897872063317,0.9920530220673204,1.0,0.9870317952394208,0.9931343821704718,0.9682886418683411,0.9706558402263785,0.9738838579957202,0.9660795112029013,0.9310602636972695,0.9495806150650288,0.9756049355334001,0.9528290599453368,0.981095065384452,0.9646890727953772,0.9796429384563372
