,1CO,1JN,1PE,1TH,1TI,2CO,2JN,2PE,2TH,2TI,3JN,ACT,COL,EPH,GAL,HEB,JAS,JHN,JUD,LUK,MAT,MRK,PHM,PHP,REV,ROM,TIT,Διονυσίῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,Σαραπίωνι τῷ λαμπροτάτῳ,Τῷ αὐτῷ,φραγμεντυμ επιστολαε,Ἀνεπίγραφος ὑπὲρ Ἀργείων
3JN,0.7254325127477191,0.855603613663391,0.8130855979667334,0.8555952039125667,0.8516573776619565,0.8281909222024952,0.8605409688062735,0.8122674896086561,0.8511780462301031,0.8311939821712361,1.0,0.4089051955807094,0.831956570909267,0.8426501968314902,0.8468532279405769,0.7269081228774479,0.8817620969614817,0.49434962357544654,0.8768107398606382,0.4319912894361659,0.4421271178954195,0.6077647004502909,0.8200096086457034,0.8388627672300094,0.7675761425465546,0.6834570085292123,0.8315744025544355,0.7874844206878828,0.8501739165999036,0.8122766814803942,0.8343563115340231,0.7636907456812857,0.8093974612219925
ACT,0.7541660421725396,0.4941981839256804,0.49923752365773744,0.5235236781978518,0.48026232297453575,0.6353849068244012,0.3687810708926661,0.45880089289765114,0.4426479945230545,0.46682759428746257,0.4089051955807094,1.0,0.4132049148311016,0.5492249410813105,0.5935672288483105,0.6587673171540243,0.49706473347085034,0.8031660033833559,0.41169843109795445,0.8172326965845024,0.8464017042295952,0.7572413364091901,0.41442819472099657,0.5292166467690541,0.6832597256122771,0.7798283049051513,0.391711469328711,0.4559198573088083,0.4122465328560415,0.47990452117211396,0.4339781148977185,0.6684301874754095,0.45417891982164066
COL,0.7185741362269699,0.8109611997624787,0.782317734974247,0.7940167676419518,0.8176141818489533,0.8116142210418872,0.8745701994918479,0.8318646505830601,0.8923417904531711,0.794759702451491,0.831956570909267,0.4132049148311016,1.0,0.8035553972847232,0.8108119527045492,0.7921216016108398,0.8481524025807339,0.564796933627483,0.7782875925164516,0.5239335691313061,0.49705463946994993,0.6320611846375266,0.8638544125108416,0.8306867701675851,0.8052674578687554,0.745116839866979,0.8248823630207516,0.8379941136959113,0.8209049822021288,0.8341982897674299,0.8610566039617193,0.7928761714846312,0.7941661348440879
EPH,0.7766162667037783,0.862343019222181,0.8178920595349275,0.8890038168378345,0.8525783125121326,0.8053719452369007,0.7991821376494326,0.8321476478600337,0.8163527214300089,0.8082319864335433,0.8426501968314902,0.5492249410813105,0.8035553972847232,1.0,0.823576288731038,0.8158878999044019,0.7962292003433122,0.5645433705136352,0.8285034507592112,0.5452487545159564,0.5295132808178954,0.6743023400210936,0.8691522130179005,0.8560711462227794,0.747591091403471,0.7438773635505169,0.8271305115048608,0.7544855610639225,0.7605818014209065,0.832292961092359,0.8471341759742952,0.8555821611988066,0.8092194882491729
GAL,0.7935458030359137,0.7930243310826542,0.8462665658134396,0.8437335401384406,0.831725441410982,0.8596943235029926,0.8241312630926375,0.8122917867242567,0.875811964303573,0.8299071530028794,0.8468532279405769,0.5935672288483105,0.8108119527045492,0.823576288731038,1.0,0.805712529005698,0.8267755178679966,0.6157979044639145,0.8354128664790968,0.5426233671034965,0.5551951877491852,0.7419444248317342,0.7870654917320301,0.8741527795596834,0.8070109090054152,0.7868563455376713,0.8057477637986429,0.8165206265062842,0.8210533626094488,0.7800106597777349,0.8546515647397976,0.8468452445006177,0.8076818638521462
HEB,0.7876490368319886,0.7679824208793793,0.8056170486030364,0.7902154097533127,0.836940011944438,0.8469187170355783,0.7243434629760878,0.791551602485155,0.7725508897072955,0.7355239327033679,0.7269081228774479,0.6587673171540243,0.7921216016108398,0.8158878999044019,0.805712529005698,1.0,0.7933077679692261,0.7646580326868518,0.7368013413811277,0.7096203471603592,0.6790327928998449,0.8426291340766644,0.7790152234340134,0.7587848260731839,0.7839035099301022,0.8247800648154078,0.6934184655537441,0.7793602965878721,0.7585702555521734,0.7873140189696405,0.8003249926054826,0.8858427984070122,0.7397321223000619
JAS,0.7865263046477325,0.8522362333528329,0.8261217527792424,0.8169700790096315,0.8557366028791948,0.8045947908600043,0.8317160826914213,0.8102340610928461,0.860761649900646,0.8476895913858662,0.8817620969614817,0.49706473347085034,0.8481524025807339,0.7962292003433122,0.8267755178679966,0.7933077679692261,1.0,0.5943534033854946,0.8288979888978245,0.5684978689747469,0.5420130426141663,0.6985512914771972,0.8252176919261915,0.7894314186553004,0.8504441152297092,0.7511668562979563,0.7832799833512029,0.8146246697571744,0.8870503412136802,0.8377884435370048,0.8074890076854618,0.7999849368165285,0.8079448220674127
JHN,0.7148505691722399,0.5777096087818896,0.554059151654615,0.5349224307727007,0.5747074690461813,0.6910449802604282,0.5006275815157509,0.539547652425091,0.5191749646640786,0.519317891082527,0.49434962357544654,0.8031660033833559,0.564796933627483,0.5645433705136352,0.6157979044639145,0.7646580326868518,0.5943534033854946,1.0,0.4459054210182695,0.7913646167269216,0.84609462307898,0.8420240502392156,0.516140711908726,0.5700614882826468,0.6972894394786722,0.8451250254995564,0.5031763379040468,0.6289116672309595,0.5094293115378432,0.5526322349697652,0.5472695370759426,0.7307681683519125,0.5576787951316259
JUD,0.7434880545838797,0.8097390817153384,0.8802851040808809,0.870172931937887,0.8030309061691856,0.8238285666726941,0.8099826854142931,0.8216155459003014,0.8187167777056729,0.8610236980875723,0.8768107398606382,0.41169843109795445,0.7782875925164516,0.8285034507592112,0.8354128664790968,0.7368013413811277,0.8288979888978245,0.4459054210182695,1.0,0.43322678926304087,0.43713446551202484,0.6379079746520663,0.7861249202909181,0.8139095947014152,0.7530458658780151,0.6441403000853303,0.8338705400497775,0.7924267066412071,0.8501785467127189,0.856758549713971,0.8469277155210244,0.776187369354654,0.8201612505445459
LUK,0.7263714496366238,0.5086568558564595,0.5298120489917766,0.49450254046220243,0.5215248593767239,0.6393147967927305,0.47957327896584123,0.4764753795944858,0.46247304138494183,0.5150386118261383,0.4319912894361659,0.8172326965845024,0.5239335691313061,0.5452487545159564,0.5426233671034965,0.7096203471603592,0.5684978689747469,0.7913646167269216,0.43322678926304087,1.0,0.8298861789404782,0.7744592845304094,0.46855781530120755,0.4992343727774015,0.7414495051418626,0.7328584968075152,0.43520011443135986,0.5747124335164201,0.4804475459421348,0.5652230591738383,0.47184857563759997,0.668001095605524,0.4770172926871316
MAT,0.7459478750659934,0.5144179299777283,0.5194252302982785,0.47093476349152896,0.47686536636864013,0.6712714050087287,0.4610546949940087,0.48833819827788305,0.4398054859382037,0.4376712234129128,0.4421271178954195,0.8464017042295952,0.49705463946994993,0.5295132808178954,0.5551951877491852,0.6790327928998449,0.5420130426141663,0.84609462307898,0.43713446551202484,0.8298861789404782,1.0,0.7580394784919193,0.46166561338932866,0.5510405121272057,0.7020335427749054,0.8056467242985546,0.4941427412558344,0.545000395044277,0.5046318821985821,0.5027583999128664,0.4822320212244173,0.6443306603921183,0.511855677233304
MRK,0.8294378372805105,0.6946672098236287,0.7018619093032352,0.6503471324144054,0.6901884010827553,0.7853483640974379,0.5597476308453133,0.64190106686537,0.6275132248210973,0.6734700317833118,0.6077647004502909,0.7572413364091901,0.6320611846375266,0.6743023400210936,0.7419444248317342,0.8426291340766644,0.6985512914771972,0.8420240502392156,0.6379079746520663,0.7744592845304094,0.7580394784919193,1.0,0.5970517229002915,0.6563003996491898,0.7943767929701877,0.8367339986284696,0.61438937540106,0.696955364243402,0.6839832377602862,0.6716744085642039,0.6596517546074786,0.7950763474732104,0.7095501349246133
PHM,0.6785834226869081,0.8338217254819827,0.754943923770959,0.8184457996603708,0.8198624498797482,0.7357740933617615,0.8654962009181743,0.8547208442222873,0.8529923165342099,0.8246102903866092,0.8200096086457034,0.41442819472099657,0.8638544125108416,0.8691522130179005,0.7870654917320301,0.7790152234340134,0.8252176919261915,0.516140711908726,0.7861249202909181,0.46855781530120755,0.46166561338932866,0.5970517229002915,1.0,0.8376580803122451,0.7440482237406,0.7204621326521274,0.8342935100921892,0.8025386448684113,0.7967380312409938,0.8004508493623158,0.829819628288409,0.7968435642497763,0.8235454351757505
PHP,0.7334493277914034,0.8346892208666661,0.8113473934268771,0.8555213011694919,0.8142353790368884,0.8192033986721379,0.852455031791927,0.803537242131107,0.8468741186355382,0.8078433396291302,0.8388627672300094,0.5292166467690541,0.8306867701675851,0.8560711462227794,0.8741527795596834,0.7587848260731839,0.7894314186553004,0.5700614882826468,0.8139095947014152,0.4992343727774015,0.5510405121272057,0.6563003996491898,0.8376580803122451,1.0,0.7941926084354559,0.7790186521254742,0.8698942705347361,0.8198073699019662,0.8063074018213054,0.7972986536386557,0.865946871359353,0.8205030973418396,0.8213673854926231
REV,0.8419412956388058,0.8240293829683081,0.7798909116271854,0.774388615887079,0.7541715517225045,0.7969939806269559,0.7487088542502935,0.7436862701405904,0.7869889633617116,0.816859385901477,0.7675761425465546,0.6832597256122771,0.8052674578687554,0.747591091403471,0.8070109090054152,0.7839035099301022,0.8504441152297092,0.6972894394786722,0.7530458658780151,0.7414495051418626,0.7020335427749054,0.7943767929701877,0.7440482237406,0.7941926084354559,1.0,0.817091204077375,0.7665579328709139,0.7924846937699579,0.8165131288998093,0.7897245084717314,0.7482287746376175,0.8231903179072596,0.7784370090727785
ROM,0.8357598800123972,0.7679720840775822,0.691541220929768,0.7300485670053322,0.7059885433291135,0.8107058509079664,0.6866171495732695,0.7449624882338804,0.7081275504132087,0.7063534994887604,0.6834570085292123,0.7798283049051513,0.745116839866979,0.7438773635505169,0.7868563455376713,0.8247800648154078,0.7511668562979563,0.8451250254995564,0.6441403000853303,0.7328584968075152,0.8056467242985546,0.8367339986284696,0.7204621326521274,0.7790186521254742,0.817091204077375,1.0,0.6920598220921997,0.7530470506870758,0.733034588073635,0.749631606037633,0.7308091459666011,0.8593691421680003,0.7699482422834432
TIT,0.7492347113499929,0.8537734882109135,0.7939686413175497,0.8127203953913469,0.8045012387118252,0.7768215799525893,0.8783419612935226,0.7986591154764346,0.8279174256564727,0.8243228724104135,0.8315744025544355,0.391711469328711,0.8248823630207516,0.8271305115048608,0.8057477637986429,0.6934184655537441,0.7832799833512029,0.5031763379040468,0.8338705400497775,0.43520011443135986,0.4941427412558344,0.61438937540106,0.8342935100921892,0.8698942705347361,0.7665579328709139,0.6920598220921997,1.0,0.8410705893212738,0.8087539565725315,0.7909279613346589,0.8502999253997313,0.7393582141582977,0.8020271594756766
Διονυσίῳ,0.719669697688756,0.8105919367209783,0.8095100615305519,0.8067222173924457,0.8327111360104047,0.7735700123108171,0.8772714625010514,0.7752243031859792,0.8142512116922551,0.8767465697572062,0.7874844206878828,0.4559198573088083,0.8379941136959113,0.7544855610639225,0.8165206265062842,0.7793602965878721,0.8146246697571744,0.6289116672309595,0.7924267066412071,0.5747124335164201,0.545000395044277,0.696955364243402,0.8025386448684113,0.8198073699019662,0.7924846937699579,0.7530470506870758,0.8410705893212738,1.0,0.8015460679477414,0.862267553551462,0.7830403609884637,0.7953048519295913,0.8173880759808366
Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,0.765840945511654,0.8119616875018512,0.8635777491506366,0.7887653801629063,0.7933486947938564,0.8227295421573786,0.8281631738222084,0.869638811611023,0.8161312275478041,0.8178139290813761,0.8501739165999036,0.4122465328560415,0.8209049822021288,0.7605818014209065,0.8210533626094488,0.7585702555521734,0.8870503412136802,0.5094293115378432,0.8501785467127189,0.4804475459421348,0.5046318821985821,0.6839832377602862,0.7967380312409938,0.8063074018213054,0.8165131288998093,0.733034588073635,0.8087539565725315,0.8015460679477414,1.0,0.8236578708271942,0.8390625190167433,0.7649682914346728,0.859596363280606
Σαραπίωνι τῷ λαμπροτάτῳ,0.7641795097301072,0.843301738299543,0.8401611768522603,0.8652072489343423,0.8135710431102684,0.7919185876709255,0.8192022823470604,0.8190443313953155,0.7888269895708925,0.8729525805109587,0.8122766814803942,0.47990452117211396,0.8341982897674299,0.832292961092359,0.7800106597777349,0.7873140189696405,0.8377884435370048,0.5526322349697652,0.856758549713971,0.5652230591738383,0.5027583999128664,0.6716744085642039,0.8004508493623158,0.7972986536386557,0.7897245084717314,0.749631606037633,0.7909279613346589,0.862267553551462,0.8236578708271942,1.0,0.8144820916682531,0.8398730008492855,0.8269293524590013
Τῷ αὐτῷ,0.7360520296467289,0.7869275139097074,0.8645133842599393,0.8138654296815913,0.7987170311766134,0.8499110834760305,0.8542329873476124,0.8873295254105695,0.8442785959404171,0.7544454841338173,0.8343563115340231,0.4339781148977185,0.8610566039617193,0.8471341759742952,0.8546515647397976,0.8003249926054826,0.8074890076854618,0.5472695370759426,0.8469277155210244,0.47184857563759997,0.4822320212244173,0.6596517546074786,0.829819628288409,0.865946871359353,0.7482287746376175,0.7308091459666011,0.8502999253997313,0.7830403609884637,0.8390625190167433,0.8144820916682531,1.0,0.8103504307260835,0.8174608924088174
φραγμεντυμ επιστολαε,0.787606900491671,0.835435269226271,0.7901409096974606,0.8547737351803407,0.8025802822270837,0.8100479184721383,0.7376330122559503,0.7855181484014291,0.7856875937498173,0.8119906630498784,0.7636907456812857,0.6684301874754095,0.7928761714846312,0.8555821611988066,0.8468452445006177,0.8858427984070122,0.7999849368165285,0.7307681683519125,0.776187369354654,0.668001095605524,0.6443306603921183,0.7950763474732104,0.7968435642497763,0.8205030973418396,0.8231903179072596,0.8593691421680003,0.7393582141582977,0.7953048519295913,0.7649682914346728,0.8398730008492855,0.8103504307260835,1.0,0.7912459406962935
Ἀνεπίγραφος ὑπὲρ Ἀργείων,0.7374432985787464,0.8335493828386031,0.8177574094035052,0.8056336073617129,0.7679900081811456,0.7615429856763504,0.7790463082983493,0.8494102546560238,0.7848190772563839,0.8337897091356984,0.8093974612219925,0.45417891982164066,0.7941661348440879,0.8092194882491729,0.8076818638521462,0.7397321223000619,0.8079448220674127,0.5576787951316259,0.8201612505445459,0.4770172926871316,0.511855677233304,0.7095501349246133,0.8235454351757505,0.8213673854926231,0.7784370090727785,0.7699482422834432,0.8020271594756766,0.8173880759808366,0.859596363280606,0.8269293524590013,0.8174608924088174,0.7912459406962935,1.0
